NumberOfExample,AverageQuadraticErrorTest,AverageQuadraticErrorLearning,MistakePerEpochTest,MistakePerEpochLearning
0.0,78.42446384551252,78.4239312509469,90.90555555555555,90.99047619047619
1000.0,70.2429464034185,70.44696117875108,55.177777777777784,55.24285714285714
2000.0,63.68165345256699,64.02216471762617,49.727777777777774,50.20714285714286
3000.0,61.35189342688064,62.08232608657307,37.666666666666664,38.6
4000.0,57.960515673444746,58.32580614132479,37.733333333333334,37.55
5000.0,60.967565215937036,61.33643143781274,40.63333333333333,40.81190476190476
6000.0,58.13845229938821,58.52892497456601,38.361111111111114,38.21190476190476
7000.0,55.90384753215858,56.204196690292065,34.644444444444446,35.50476190476191
8000.0,57.06420704840548,57.60559648399401,35.25,35.82380952380952
9000.0,56.096392543849284,56.52269168595227,35.82222222222222,36.607142857142854
10000.0,54.542368430353726,55.13388195317618,34.07222222222222,34.688095238095244
11000.0,54.01953138664975,54.57533447735064,34.81111111111111,35.35476190476191
12000.0,53.56788093414969,53.985362922597545,31.7,32.128571428571426
13000.0,54.79378743603793,55.10207517476067,33.07222222222222,33.78809523809524
14000.0,53.46387179956067,53.795965262097425,33.24444444444444,33.076190476190476
15000.0,53.482874555044525,53.643626838074596,32.06666666666666,32.2047619047619
16000.0,49.74634718028246,49.93507286694549,30.283333333333335,30.373809523809527
17000.0,50.35252985675259,50.65324340714382,29.388888888888886,29.70952380952381
18000.0,52.698800040439686,52.87568735129812,28.655555555555555,28.726190476190478
19000.0,51.81215597691485,52.12244573743008,30.005555555555556,31.02857142857143
20000.0,50.40711051194848,50.622435438146695,29.76111111111111,30.152380952380952
21000.0,49.89409416426116,49.81792146476719,29.883333333333333,30.021428571428572
22000.0,49.068434961812216,49.14356100393081,28.994444444444444,29.478571428571428
23000.0,48.67540739799725,49.01200716262559,30.433333333333334,31.297619047619047
24000.0,53.02811225201294,53.26104965480428,30.688888888888886,30.63571428571429
25000.0,51.07578039000648,51.36051170721575,28.666666666666668,29.476190476190478
26000.0,50.93019834313801,51.03192101198301,30.616666666666664,31.07857142857143
27000.0,51.42687165529033,51.68726807742098,31.227777777777778,31.664285714285718
28000.0,50.5846541187589,50.889847143262934,29.872222222222224,30.330952380952382
29000.0,51.65437210100402,52.16059011140637,29.638888888888886,29.95952380952381
30000.0,49.431908467656136,49.79586427349519,30.233333333333334,30.602380952380955
31000.0,52.01985764441669,52.58054460106697,29.555555555555557,30.166666666666668
32000.0,51.7236309897913,52.26728983536357,31.322222222222223,31.892857142857146
33000.0,51.28813665876666,51.44777226069094,31.88888888888889,32.345238095238095
34000.0,51.83133324591878,52.681437940857066,29.47222222222222,30.683333333333334
35000.0,50.833889942215734,51.27513414012633,29.11111111111111,29.60714285714286
36000.0,49.263486044604996,50.2472792848919,29.58888888888889,30.48095238095238
37000.0,48.432287446234994,49.418060833495694,27.46666666666667,27.926190476190477
38000.0,48.89029023749196,49.89838031894302,27.655555555555555,28.68809523809524
39000.0,49.213717797106874,49.90691234954688,27.994444444444444,28.95952380952381
40000.0,50.34113051832987,51.28246621148623,29.627777777777776,30.842857142857145
41000.0,48.62136342659534,49.4250135111381,27.35,28.319047619047623
42000.0,50.97580323489406,51.75644404210671,29.83888888888889,30.271428571428572
43000.0,47.9664402688873,48.37047370620988,27.750000000000004,28.27619047619048
44000.0,47.862823065774265,48.45957698333012,26.366666666666667,26.56904761904762
45000.0,48.44465029071169,49.126167518872386,27.35,27.435714285714287
46000.0,46.638772509597906,47.1514078498462,28.583333333333332,29.280952380952378
47000.0,47.243624132246836,47.638420847256974,26.200000000000003,26.226190476190474
48000.0,47.990286896550195,48.439045431699896,28.394444444444446,28.59285714285714
49000.0,47.37440984616998,47.72516349459132,26.866666666666667,26.97380952380952
